id,name,display_desc,category,location,img,name_short,category_corrected
4838,Southwest BBQ Burger - Peanut/Tree Nut Allergy-friendly,served with Signature Southwestern Steak Fries dusted in Chili-lime Seasoning,Entree,Columbia Harbor House,burger_southwest_BBQ.jpg,Southwest BBQ Burger,
4840,"Shrimp, Fish, and Chicken Platter - Peanut/Tree Nut Allergy-friendly",served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_shrimp_fish_chicken.png,"Shrimp, Fish, & Chicken Platter",
4841,Fish and Shrimp Platter - Peanut/Tree Nut Allergy-friendly,served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_seafood_platter_fish_shrimp.png,Fish & Shrimp Platter,
4842,Shrimp Platter - Peanut/Tree Nut Allergy-friendly,served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_shrimp.png,Shrimp Platter,
5142,Peanut Butter and Chocolate Coffin Cake ,Coffin Cake layered with Peanut Butter and Chocolate and topped with Chocolate Ganache,Beverage,Columbia Harbor House,dessert_peanut_butter_chocolate_cake.png,Peanut Butter Chocolate Cake,Dessert
5143,Chocolate and Orange Cream Parfait,layers of Chocolate Cake and Orange Cream,Beverage,Columbia Harbor House,dessert_chocolate_orange_parfait.jpg,Chocolate & Orange Parfait,Dessert
5388,Pumpkin Straw,,Beverage,Columbia Harbor House,dessert_pumpkin.jpeg,,
5445,Chocolate Mousse Present,Chocolate Mousse decorated as a Holiday Present,Dessert,Columbia Harbor House,dessert_chocolate_mousse.png,Chocolate Mousse,
5446,Winterberry Margarita,crafted with Silver Patrón Tequila,Dessert,Columbia Harbor House,bev_cocktails.png,,Alcoholic Beverage
5469,Winterberry Margarita,crafted with Silver Patrón Tequila,Dessert,Columbia Harbor House,bev_cocktails.png,,Alcoholic Beverage
